text,label
Я не понял,Russian
I'll be there,English
Я голоден,Russian
Ты молодец,Russian
No problem,English
This is interesting,English
What are you waiting for?,English
Эмнеге барбайсың?,Kyrgyz
Кто это?,Russian
Жаңылыктар барбы?,Kyrgyz
It's late now,English
This is interesting,English
Бүгүн шашпайлы,Kyrgyz
Кызык,Kyrgyz
Когда будет готово?,Russian
It's up to you,English
Досторуңду чакыр,Kyrgyz
Эмне кабар?,Kyrgyz
Сиз кайда жашайсыз?,Kyrgyz
Кош болуңуз,Kyrgyz
Жакшы таанышуу,Kyrgyz
Кечирип коюңуз,Kyrgyz
I'm outside,English
Менин оюмча,Kyrgyz
Кандай сезип жатасың?,Kyrgyz
Я тебя жду,Russian
Бул сенин идеяңбы?,Kyrgyz
Ты уже дома?,Russian
I owe you,English
Байланышта бол,Kyrgyz
Я уехал,Russian
I'm bored,English
Эч нерсе болбойт,Kyrgyz
Будь здоров,Russian
Can we talk?,English
Дем алышта эмне кыласың?,Kyrgyz
Можно я сяду?,Russian
Качан барабыз?,Kyrgyz
Help yourself,English
Is it possible?,English
All the best,English
It's important,English
Сенин оюңча?,Kyrgyz
Эртең жолугалы,Kyrgyz
Ты как всегда прав,Russian
You made it,English
Это хорошая идея,Russian
Can I call you?,English
Жолуңуз ачык болсун,Kyrgyz
What time is it?,English
Congratulations,English
Который час?,Russian
Good choice,English
Мен бошмун,Kyrgyz
Are you okay now?,English
Я тебе напишу,Russian
Сиз кайда жашайсыз?,Kyrgyz
Мен ойлонбойм,Kyrgyz
Погода хорошая,Russian
Let's meet later,English
Сен эмне ойлойсуң?,Kyrgyz
What a day!,English
See you soon,English
Доброй ночи,Russian
Я подумаю об этом,Russian
Это важно для меня,Russian
Good night,English
What's wrong?,English
You made it,English
Бүгүн шашпайлы,Kyrgyz
What's going on?,English
Ысык суу барбы?,Kyrgyz
Где встретимся?,Russian
It's up to you,English
Я на работе,Russian
Эмне кабар?,Kyrgyz
Будь здоров,Russian
Менин атым Али,Kyrgyz
У тебя всё получится,Russian
I'm hungry too,English
Круто!,Russian
Я опаздываю,Russian
Чай ичели,Kyrgyz
Жакшы эс ал,Kyrgyz
I like this idea,English
Are you serious?,English
Мен түшүндүрүп берем,Kyrgyz
Бүттү,Kyrgyz
Жолукканча жакшы бол,Kyrgyz
Кызыктуу болуп жатабы?,Kyrgyz
Это невозможно,Russian
Чын айтам,Kyrgyz
Обязательно,Russian
Сабак кандай өттү?,Kyrgyz
I'm fine,English
У тебя есть время?,Russian
Я подумаю об этом,Russian
Let me think,English
Жол кайда?,Kyrgyz
Ты уже спишь?,Russian
You're right,English
Я только пришёл,Russian
Ты где работаешь?,Russian
Good to see you,English
Анда жакшы,Kyrgyz
Сен даярсыңбы?,Kyrgyz
Позвони мне,Russian
Керек эмес,Kyrgyz
Мен сени угуп жатам,Kyrgyz
Жакшы дем алыш,Kyrgyz
Мен сага жардам берем,Kyrgyz
I love this place,English
Мне не по себе,Russian
I need help,English
You're cool,English
Good night,English
Спасибо,Russian
Жеңиш болсун,Kyrgyz
Можно пригласить друга?,Russian
Погуляем?,Russian
Может завтра?,Russian
I love reading,English
I'm busy,English
Ты уже пришёл?,Russian
Text me,English
Как погода?,Russian
I like it,English
Я сейчас,Russian
Ишенем,Kyrgyz
Жолугалыбы?,Kyrgyz
What are your hobbies?,English
What a surprise!,English
Сенин планың кандай?,Kyrgyz
Эмне керек?,Kyrgyz
I respect that,English
Я в пути,Russian
Жолугушууну унутпа,Kyrgyz
Ты скоро?,Russian
Я устал сильно,Russian
Это моя ошибка,Russian
Ты умеешь готовить?,Russian
Сен келдиңби?,Kyrgyz
Ты супер,Russian
Ты супер,Russian
Отлично выглядишь,Russian
Where are you now?,English
It's easy,English
See you soon,English
Менин оюмча,Kyrgyz
Потом расскажу,Russian
Не расстраивайся,Russian
Жакшы жөө басалы,Kyrgyz
Fantastic,English
Көзүң жакшы көрөт экен,Kyrgyz
Это важно,Russian
Congratulations,English
Мне очень интересно,Russian
Бүгүн эмнени үйрөндүң?,Kyrgyz
Не переживай,Russian
Мне нужно подумать,Russian
Don't worry,English
Good to know,English
Ты уже поел?,Russian
Let's order food,English
Это было круто,Russian
Жакшы жатып ал,Kyrgyz
Жол жакшы болсун,Kyrgyz
Сколько времени займёт?,Russian
I didn't know,English
Я люблю путешествовать,Russian
I'm happy for you,English
I'm hungry too,English
It's no problem,English
Эртең кетем,Kyrgyz
I need help,English
I hope not,English
Бүгүн шашпайлы,Kyrgyz
Можно вопрос?,Russian
Бүгүн кайда жолугабыз?,Kyrgyz
Сен келдиңби?,Kyrgyz
I'm proud of you,English
Бул жакшы жаңылык,Kyrgyz
Жол жакшы болсун,Kyrgyz
I believe you,English
Будем смотреть фильм?,Russian
No worries,English
It's up to you,English
Давай вместе,Russian
Хороший день сегодня,Russian
I'm here,English
Это было круто,Russian
Я рядом,Russian
Можно обсудить?,Russian
Бүгүн эмнени үйрөндүң?,Kyrgyz
Wait for me,English
That's funny,English
Когда встретимся?,Russian
Ты умеешь готовить?,Russian
Жол кайда?,Kyrgyz
Of course,English
I don't mind,English
Я не расслышал,Russian
Я занят делами,Russian
Доброй ночи,Russian
I'm happy for you,English
Кечинде көрүшөлү,Kyrgyz
Эмнеге?,Kyrgyz
Какой адрес?,Russian
I'm feeling better,English
Я на связи,Russian
Ты рад?,Russian
I don't like it,English
I'm not sure,English
What's your favorite color?,English
Ишке бардыңбы?,Kyrgyz
Эч нерсе болбойт,Kyrgyz
Болсо жакшы,Kyrgyz
Я не понял,Russian
What's happening?,English
Мне нужно подумать,Russian
Сурап көрсөм болобу?,Kyrgyz
Кандайсың?,Kyrgyz
Кечиресиз,Kyrgyz
Where do you want to go?,English
Удачи на работе,Russian
Ты когда свободен?,Russian
Good to know,English
Көрүшкөнчө,Kyrgyz
Жакшы эс ал,Kyrgyz
Сенин сүйүктүү түсүң кайсы?,Kyrgyz
Сиз кайдансыз?,Kyrgyz
Сен эмне дейсиң?,Kyrgyz
No worries,English
Как добраться?,Russian
Жол кайда?,Kyrgyz
Чай ичели,Kyrgyz
Let me check,English
Чоң рахмат,Kyrgyz
Long time no see,English
Sounds bad,English
Я скучаю,Russian
Доброй ночи,Russian
You're always right,English
Are you alone?,English
Can we talk?,English
Сен келдиңби?,Kyrgyz
Унутпа,Kyrgyz
Доброй ночи,Russian
Пошли вместе,Russian
Круто!,Russian
Чын айтам,Kyrgyz
Ты где работаешь?,Russian
Можно тебя спросить?,Russian
